Nome	Retorno  - diária (2016)	Retorno  - diária (2017)	Retorno  - diária (2018)	Retorno  - diária (2019)	Retorno  - diária (2020)	Retorno  - diária (2021)	Retorno  - diária (2022)	Retorno  - diária (2023)	Retorno  - diária (2024)	Retorno  - diária (2025)	Retorno no ano - diária (02/01/2026 até 30/06/2026)	Retorno Anualizado  - diária (02/01/2016 até 30/06/2026)	Retorno  - diária (02/01/2016 até 30/06/2026)	Volatilidade  - diária (02/01/2016 até 30/06/2026)	Máximo Drawdown  - diária (02/01/2016 até 30/06/2026)
FFG FIF AÇÕES	0,234309	0,234543	0,135774	0,462614	0,11576	-0,174006	-0,105788	0,283584	-0,13994	0,368233	0,03264	0,119592	2,253884	0,197621	-0,448902
HFG FIC MULTIMERCADO	0,203244	0,146681	0,087213	0,117508	0,053594	0,089666	0,215754	0,088357	0,103304	0,147552	0,038674	0,122679	2,34882	0,045889	-0,113351
GERDAU PN N1 - GGBR4	1,333255	0,151656	0,22599	0,376708	0,239876	0,253242	0,226317	-0,093609	-0,045771	0,165494	0,032474	0,234068	7,994693	0,423377	-0,611345
CDI	0,140012	0,099522	0,064233	0,059679	0,027677	0,043952	0,12373	0,130474	0,10874	0,143133	0,068462	0,096162	1,60897	0,002451	
Dólar	-0,165361	0,015004	0,171342	0,040234	0,28928	0,073855	-0,065012	-0,072139	0,279057	-0,111413	-0,059211	0,027362	0,325702	0,140634	-0,265845
Ibovespa	0,389352	0,268569	0,150325	0,315837	0,029157	-0,119267	0,046862	0,222816	-0,103602	0,339548	0,067641	0,141074	2,968353	0,230346	-0,46816
IFIX	0,323355	0,194056	0,056201	0,359752	-0,102399	-0,022772	0,022226	0,154963	-0,058932	0,21148	0,014643	0,100492	1,718639	0,082287	-0,333307
IHFA	0,158704	0,12407	0,070921	0,111156	0,055131	0,020359	0,136643	0,093087	0,057641	0,153295	0,032598	0,096253	1,611235	0,045588	-0,114214
IMA-B	0,248106	0,127941	0,130587	0,229504	0,064056	-0,012642	0,063692	0,160543	-0,024394	0,131681	0,040789	0,107916	1,916414	0,068324	-0,126826
IPCA	0,06288	0,029474	0,037456	0,04306	0,045173	0,100611	0,057848	0,046211	0,048313	0,042644	0,033645	0,052302	0,703107	0,002941	-0,013245
IRF-M	0,233713	0,151984	0,107322	0,120302	0,066946	-0,019922	0,088247	0,165091	0,018578	0,182175	0,050581	0,109386	1,957093	0,03769	-0,059413
S&P 500	-0,085778	0,212118	0,098283	0,340634	0,498903	0,362643	-0,2468	0,152686	0,577193	0,034207	0,030651	0,163528	3,864093	0,203949	-0,3134
Perfil Arroj BR Retro	0,23211	0,168401	0,088928	0,192949	0,079019	-0,020753	0,083744	0,132818	0,019277	0,179194	0,043525	0,11242	2,042647	0,077654	-0,208858
Perfil Cons BR Retro	0,160919	0,126389	0,064711	0,109268	0,043645	0,040096	0,145884	0,122031	0,06991	0,15104	0,059896	0,104108	1,813399	0,026643	-0,064079
Perfil Mod BR Retro	0,208452	0,149833	0,084446	0,159555	0,073429	0,008305	0,115447	0,122702	0,039154	0,167717	0,048086	0,111342	2,012007	0,054859	-0,14526
