asset;class;asset_color;quantum_name;class_color
Dolar;Benchmark;#7030A0;D�lar;#FFC000
SP500 BRL;Renda Variavel;#5B9BD5;S&P 500;#002A54
CDI;Benchmark;#70AD47;CDI;#FFC000
IHFA;Multimercado;#FFC000;IHFA;#ED7D31
Cons;Perfil;#FFFFFF;Perfil Cons BR Retro;#D9D9D9
HFG;Multimercado;#FFC000;HFG FIC MULTIMERCADO;#ED7D31
IPCA;Benchmark;#E2EFDA;IPCA;#FFC000
Mod;Perfil;#D9D9D9;PERFIL MOD BR RETRO;#D9D9D9
Arroj;Perfil;#A6A6A6;PERFIL ARROJ BR RETRO;#D9D9D9
IRF-M;Renda Fixa;#ED7D31;IRF-M;#009D90
IMA-B;Renda Fixa;#C65911;IMA-B;#009D90
IFIX;Multimercado;#806000;IFIX;#ED7D31
FFG;Renda Variavel;#0070C0;FFG FIF A��ES;#002A54
IBOV;Renda Variavel;#4472C4;IBOVESPA;#002A54
GGBR4;Renda Variavel;#203764;GERDAU PN N1 - GGBR4;#002A54
