Nome;Retorno  - di�ria (02/06/2015 at� 31/12/2015);Retorno  - di�ria (2016);Retorno  - di�ria (2017);Retorno  - di�ria (2018);Retorno  - di�ria (2019);Retorno  - di�ria (2020);Retorno  - di�ria (2021);Retorno  - di�ria (2022);Retorno  - di�ria (2023);Retorno  - di�ria (2024);Retorno Anualizado  - di�ria (02/06/2015 at� 31/12/2024);Retorno  - di�ria (02/06/2015 at� 31/12/2024);Volatilidade  - di�ria (02/06/2015 at� 31/12/2024);M�ximo Drawdown  - di�ria (02/06/2015 at� 31/12/2024)
FFG FIF A��ES;-0,025162;0,234309;0,234543;0,135774;0,462614;0,11576;-0,174006;-0,105788;0,283584;-0,13994;0,088395;1,245047;0,200289;-0,448902
HFG FIC MULTIMERCADO;0,061922;0,203244;0,146681;0,087213;0,117508;0,053594;0,089666;0,215754;0,088357;0,103304;0,121302;1,983546;0,045621;-0,113351
GERDAU PN N1 - GGBR4;-0,465766;1,333255;0,151656;0,22599;0,376708;0,239876;0,253242;0,226317;-0,093609;-0,045771;0,156064;2,993269;0,448541;-0,631076
CDI;0,0799;0,140012;0,099522;0,064233;0,059679;0,027677;0,043952;0,12373;0,130474;0,10874;0,09149;1,306731;0,002389;
D�lar;0,228349;-0,165361;0,015004;0,171342;0,040234;0,28928;0,073855;-0,065012;-0,072139;0,279057;0,072333;0,947938;0,150265;-0,272688
Ibovespa;-0,182572;0,389352;0,268569;0,150325;0,315837;0,029157;-0,119267;0,046862;0,222816;-0,103602;0,089564;1,268171;0,239352;-0,46816
IFIX;-0,007586;0,323355;0,194056;0,056201;0,359752;-0,102399;-0,022772;0,022226;0,154963;-0,058932;0,085823;1,194903;0,085751;-0,333307
IHFA;0,077229;0,158704;0,12407;0,070921;0,111156;0,055131;0,020359;0,136643;0,093087;0,057641;0,0942;1,362013;0,045423;-0,114214
IMA-B;0,003025;0,248106;0,127941;0,130587;0,229504;0,064056;-0,012642;0,063692;0,160543;-0,024394;0,099966;1,483558;0,073724;-0,126826
IPCA;0,050247;0,06288;0,029474;0,037456;0,04306;0,045173;0,100611;0,057848;0,046211;0,048313;0,054496;0,659687;0,002988;-0,013245
IRF-M;0,022451;0,233713;0,151984;0,107322;0,120302;0,066946;-0,019922;0,088247;0,165091;0,018578;0,097667;1,434423;0,038525;-0,059413
S&P 500;0,188917;-0,085778;0,212118;0,098283;0,340634;0,498903;0,362643;-0,2468;0,152686;0,577193;0,193777;4,425433;0,209381;-0,3134
Perfil Arroj BR Retro;0,025152;0,23211;0,168401;0,088928;0,192949;0,079019;-0,020753;0,083744;0,132818;0,019277;0,102324;1,534847;0,080612;-0,208858
Perfil Cons BR Retro;0,071971;0,160919;0,126389;0,064711;0,109268;0,043645;0,040096;0,145884;0,122031;0,06991;0,099432;1,472071;0,027537;-0,064079
Perfil Mod BR Retro;0,050174;0,208452;0,149833;0,084446;0,159555;0,073429;0,008305;0,115447;0,122702;0,039154;0,104567;1,584537;0,05656;-0,14526
